year,national_gdp
2011,8631488.67
2012,9826568.65
2013,11140329.8
2014,12238134.5
2015,13592304.65
2016,15341772.08
2017,17059326.73
2018,18930267.76
2019,20619409.9
2020,21052474.39
2021,14966722.21
