ym,year,month,upi_volume_cr,upi_value_cr,national_gdp,ln_upi_value,ln_upi_volume,ln_gdp,g_upi_value,g_upi_volume,avg_ticket,ln_avg_ticket
2021-07,2021,7,324.78200000000004,605883.2,2472152.7246411773,13.314442507200923,5.783154188032637,14.720599877464075,0.10155646460093237,0.1456824706638571,1865.507324913326,7.531288319168286
2021-08,2021,8,355.555,639116.95,2472152.7246411773,13.36784273695778,5.873679948950378,14.720599877464075,0.05340022975685699,0.09052576091774078,1797.5192304987975,7.494162788007402
2021-09,2021,9,365.43,654648.28,2472152.7246411773,13.391853393294317,5.901074742379977,14.720599877464075,0.02401065633653765,0.027394793429599495,1791.4464603344006,7.49077865091434
2021-10,2021,10,421.864,771406.99,2472152.7246411773,13.55597138616193,6.044682987212785,14.720599877464075,0.16411799286761308,0.14360824483280776,1828.5679508087915,7.511288398949144
2021-11,2021,11,418.648,768436.09,2472152.7246411773,13.552112676498732,6.037030471378788,14.720599877464075,-0.0038587096631985673,-0.0076525158339970645,1835.518359098813,7.515082205119944
2021-12,2021,12,456.63,826848.23,2472152.7246411773,13.62537643842176,6.123873434959685,14.720599877464075,0.07326376192302853,0.08684296358089671,1810.7619516895518,7.5015030034620755
2022-01,2022,1,461.716,831993.09,2757628.1565690013,13.631579414480395,6.134949983450067,14.829881504666826,0.006202976058634846,0.011076548490382088,1801.9585416143257,7.496629431030328
2022-02,2022,2,452.749,826843.02,2757628.1565690013,13.62537013736647,6.115337888036622,14.829881504666826,-0.006209277113924827,-0.019612095413444663,1826.2724379291838,7.510032249329848
2022-03,2022,3,540.5649999999999,960581.67,2757628.1565690013,13.775294286206941,6.292614888868153,14.829881504666826,0.149924148840471,0.17727700083153053,1776.99568044546,7.482679397338788
2022-06,2022,6,586.275,1014412.63,2757628.1565690013,13.829820313297368,6.373788962774504,14.829881504666826,0.054526027090426865,0.08117407390635112,1730.2675877361307,7.456031350522864
